eta,risk,strategy,minute_index,utc_day,objective_gain_bps,monetary_gain_bps
5.0,0.0,full,28775,20685,9.350430226457796e-05,9.350430226457796e-05
5.0,0.0,full,28805,20686,0.25451749643925353,0.25451749643925353
5.0,0.0,full,28835,20686,-0.019636250511355396,-0.019636250511355396
5.0,0.0,full,28865,20686,0.3265097779378613,0.3265097779378613
5.0,0.0,full,28895,20686,0.5111233781513,0.5111233781513
5.0,0.0,full,28925,20686,0.1545908964666738,0.1545908964666738
5.0,0.0,full,28955,20686,-0.1359012427927677,-0.1359012427927677
5.0,0.0,full,28985,20686,0.013819152633865427,0.013819152633865427
5.0,0.0,full,29015,20686,0.027328198115087767,0.027328198115087767
5.0,0.0,full,29045,20686,0.08209312460364483,0.08209312460364483
5.0,0.0,full,29075,20686,0.09471837799800799,0.09471837799800799
5.0,0.0,full,29105,20686,0.13040901462193066,0.13040901462193066
5.0,0.0,full,29135,20686,-0.0008782499938476213,-0.0008782499938476213
5.0,0.0,full,29165,20686,-0.03685791127590915,-0.03685791127590915
5.0,0.0,full,29195,20686,-0.06565343449000587,-0.06565343449000587
5.0,0.0,full,29225,20686,0.49383166194412853,0.49383166194412853
5.0,0.0,full,29255,20686,-0.018533994149864695,-0.018533994149864695
5.0,0.0,full,29285,20686,0.13306007875131895,0.13306007875131895
5.0,0.0,full,29315,20686,0.17849932771795798,0.17849932771795798
5.0,0.0,full,29345,20686,0.0476878341897771,0.0476878341897771
5.0,0.0,full,29375,20686,0.13119170784023135,0.13119170784023135
5.0,0.0,full,29405,20686,0.05696019091612727,0.05696019091612727
5.0,0.0,full,29435,20686,-0.056116586358374146,-0.056116586358374146
5.0,0.0,full,29465,20686,0.09876751470717547,0.09876751470717547
5.0,0.0,full,29495,20686,0.13834648402336383,0.13834648402336383
5.0,0.0,full,29525,20686,0.003915691675230425,0.003915691675230425
5.0,0.0,full,29555,20686,0.09355121080185436,0.09355121080185436
5.0,0.0,full,29585,20686,-0.10943257586050348,-0.10943257586050348
5.0,0.0,full,29615,20686,-0.18777533656925807,-0.18777533656925807
5.0,0.0,full,29645,20686,0.058010356061371046,0.058010356061371046
5.0,0.0,full,29675,20686,-0.06089129332965082,-0.06089129332965082
5.0,0.0,full,29705,20686,0.013457830210285869,0.013457830210285869
5.0,0.0,full,29735,20686,0.13005088091680592,0.13005088091680592
5.0,0.0,full,29765,20686,-0.03660404642333198,-0.03660404642333198
5.0,0.0,full,29795,20686,0.11554056265869782,0.11554056265869782
5.0,0.0,full,29825,20686,-0.1336374592572861,-0.1336374592572861
5.0,0.0,full,29855,20686,-0.03800313370986168,-0.03800313370986168
5.0,0.0,full,29885,20686,-0.07582954064836947,-0.07582954064836947
5.0,0.0,full,29915,20686,-0.0005315654338622879,-0.0005315654338622879
5.0,0.0,full,29945,20686,-0.0868895789102708,-0.0868895789102708
5.0,0.0,full,29975,20686,-0.0033953002309734985,-0.0033953002309734985
5.0,0.0,full,30005,20686,0.2024141772207588,0.2024141772207588
5.0,0.0,full,30035,20686,-0.08721450686507065,-0.08721450686507065
5.0,0.0,full,30065,20686,0.008110242292949415,0.008110242292949415
5.0,0.0,full,30095,20686,0.09637834448166992,0.09637834448166992
5.0,0.0,full,30125,20686,0.024621467722344165,0.024621467722344165
5.0,0.0,full,30155,20686,-0.005585205526519605,-0.005585205526519605
5.0,0.0,full,30185,20686,-0.07282180298685212,-0.07282180298685212
5.0,0.0,full,30215,20686,0.00044706920287584457,0.00044706920287584457
5.0,0.0,full,30245,20687,0.03108147762903499,0.03108147762903499
5.0,0.0,full,30275,20687,-0.06295947044827989,-0.06295947044827989
5.0,0.0,full,30305,20687,-0.05100075790270099,-0.05100075790270099
5.0,0.0,full,30335,20687,-0.15126999048230244,-0.15126999048230244
5.0,0.0,full,30365,20687,-0.007306398094061588,-0.007306398094061588
5.0,0.0,full,30395,20687,0.010221325205907237,0.010221325205907237
5.0,0.0,full,30425,20687,-0.06875095112685838,-0.06875095112685838
5.0,0.0,full,30455,20687,-0.012441626176816344,-0.012441626176816344
5.0,0.0,full,30485,20687,-0.002613303160189152,-0.002613303160189152
5.0,0.0,full,30515,20687,-0.016862704768678894,-0.016862704768678894
5.0,0.0,full,30545,20687,-0.30941534169176854,-0.30941534169176854
5.0,0.0,full,30575,20687,-0.017487519358123815,-0.017487519358123815
5.0,0.0,full,30605,20687,0.016577638662995425,0.016577638662995425
5.0,0.0,full,30635,20687,-0.05428659756687983,-0.05428659756687983
5.0,0.0,full,30665,20687,-0.3218391178485733,-0.3218391178485733
5.0,0.0,full,30695,20687,0.04216336761991743,0.04216336761991743
5.0,0.0,full,30725,20687,0.007803907069815605,0.007803907069815605
5.0,0.0,full,30755,20687,0.011190840489391328,0.011190840489391328
5.0,0.0,full,30785,20687,0.03867427736798086,0.03867427736798086
5.0,0.0,full,30815,20687,-0.05594520449466684,-0.05594520449466684
5.0,0.0,full,30845,20687,0.017045227646915635,0.017045227646915635
5.0,0.0,full,30875,20687,0.0006620394153356509,0.0006620394153356509
5.0,0.0,full,30905,20687,0.0267378767989783,0.0267378767989783
5.0,0.0,full,30935,20687,0.011493919448501153,0.011493919448501153
5.0,0.0,full,30965,20687,-0.008211915583855884,-0.008211915583855884
5.0,0.0,full,30995,20687,-0.039956437256418266,-0.039956437256418266
5.0,0.0,full,31025,20687,-0.013436457615242162,-0.013436457615242162
5.0,0.0,full,31055,20687,0.07357995339493122,0.07357995339493122
5.0,0.0,full,31085,20687,0.02350614956192906,0.02350614956192906
5.0,0.0,full,31115,20687,-0.022460874380301213,-0.022460874380301213
5.0,0.0,full,31145,20687,0.004970915901950476,0.004970915901950476
5.0,0.0,full,31175,20687,0.018343460937040586,0.018343460937040586
5.0,0.0,full,31205,20687,0.06082684652321872,0.06082684652321872
5.0,0.0,full,31235,20687,-0.1827809675601094,-0.1827809675601094
5.0,0.0,full,31265,20687,0.0007484710949396229,0.0007484710949396229
5.0,0.0,full,31295,20687,0.04609676099181661,0.04609676099181661
5.0,0.0,full,31325,20687,-0.012194398495829295,-0.012194398495829295
5.0,0.0,full,31355,20687,0.06795697410098168,0.06795697410098168
5.0,0.0,full,31385,20687,0.095424274181546,0.095424274181546
5.0,0.0,full,31415,20687,0.10438988211394772,0.10438988211394772
5.0,0.0,full,31445,20687,-0.044127103951955016,-0.044127103951955016
5.0,0.0,full,31475,20687,0.029998241325840235,0.029998241325840235
5.0,0.0,full,31505,20687,-0.0581396910218625,-0.0581396910218625
5.0,0.0,full,31535,20687,0.00862042241628129,0.00862042241628129
5.0,0.0,full,31565,20687,0.0008486139073759605,0.0008486139073759605
5.0,0.0,full,31595,20687,-0.04337475968806089,-0.04337475968806089
5.0,0.0,full,31625,20687,-0.005523457009669993,-0.005523457009669993
5.0,0.0,full,31655,20687,-0.034049168145281514,-0.034049168145281514
5.0,0.0,full,31685,20688,-0.006621890783258284,-0.006621890783258284
5.0,0.0,full,31715,20688,0.008349701077894137,0.008349701077894137
5.0,0.0,full,31745,20688,-0.06504627214761573,-0.06504627214761573
5.0,0.0,full,31775,20688,-0.013440625236502595,-0.013440625236502595
5.0,0.0,full,31805,20688,-0.00030265911610328686,-0.00030265911610328686
5.0,0.0,full,31835,20688,-0.0031780019356525335,-0.0031780019356525335
5.0,0.0,full,31865,20688,0.04205624846667471,0.04205624846667471
5.0,0.0,full,31895,20688,-0.001556303204903789,-0.001556303204903789
5.0,0.0,full,31925,20688,-0.014883399769476223,-0.014883399769476223
5.0,0.0,full,31955,20688,-0.02754239928282861,-0.02754239928282861
5.0,0.0,full,31985,20688,-0.08779730327643928,-0.08779730327643928
5.0,0.0,full,32015,20688,-0.006630385245471606,-0.006630385245471606
5.0,0.0,full,32045,20688,0.05595018197466972,0.05595018197466972
5.0,0.0,full,32075,20688,-0.007536700806878609,-0.007536700806878609
5.0,0.0,full,32105,20688,0.047074084395741636,0.047074084395741636
5.0,0.0,full,32135,20688,0.027022878374384593,0.027022878374384593
5.0,0.0,full,32165,20688,0.08649213089587765,0.08649213089587765
5.0,0.0,full,32195,20688,0.049317143221762415,0.049317143221762415
5.0,0.0,full,32225,20688,-0.014569601168163046,-0.014569601168163046
5.0,0.0,full,32255,20688,0.013869474222869526,0.013869474222869526
5.0,0.0,full,32285,20688,-0.021830953719761854,-0.021830953719761854
5.0,0.0,full,32315,20688,-0.01663883583262631,-0.01663883583262631
5.0,0.0,full,32345,20688,-0.08326416655252722,-0.08326416655252722
5.0,0.0,full,32375,20688,-0.0004664914193604356,-0.0004664914193604356
5.0,0.0,full,32405,20688,-0.002425436444261783,-0.002425436444261783
5.0,0.0,full,32435,20688,0.1750579425031712,0.1750579425031712
5.0,0.0,full,32465,20688,-0.08448018315663586,-0.08448018315663586
5.0,0.0,full,32495,20688,0.005089249655845156,0.005089249655845156
5.0,0.0,full,32525,20688,0.09368882994519595,0.09368882994519595
5.0,0.0,full,32555,20688,-0.0031100950415016075,-0.0031100950415016075
5.0,0.0,full,32585,20688,-0.040056292539430716,-0.040056292539430716
5.0,0.0,full,32615,20688,-0.0320283929711655,-0.0320283929711655
5.0,0.0,full,32645,20688,0.01388001799928856,0.01388001799928856
5.0,0.0,full,32675,20688,0.018982373833640306,0.018982373833640306
5.0,0.0,full,32705,20688,0.006059763648149591,0.006059763648149591
5.0,0.0,full,32735,20688,-0.0004938196524276187,-0.0004938196524276187
5.0,0.0,full,32765,20688,0.09659826942211722,0.09659826942211722
5.0,0.0,full,32795,20688,-0.027193085675227376,-0.027193085675227376
5.0,0.0,full,32825,20688,0.017732511822781058,0.017732511822781058
5.0,0.0,full,32855,20688,0.007735136536102232,0.007735136536102232
5.0,0.0,full,32885,20688,0.008858651573555474,0.008858651573555474
5.0,0.0,full,32915,20688,0.0060634335616143635,0.0060634335616143635
5.0,0.0,full,32945,20688,0.3223540336390333,0.3223540336390333
5.0,0.0,full,32975,20688,-0.00017963645928202837,-0.00017963645928202837
5.0,0.0,full,33005,20688,0.0004058041664774636,0.0004058041664774636
5.0,0.0,full,33035,20688,0.0015565946657971586,0.0015565946657971586
5.0,0.0,full,33065,20688,-0.03623703916101864,-0.03623703916101864
5.0,0.0,full,33095,20688,-0.0014153818112663508,-0.0014153818112663508
5.0,0.0,full,33125,20689,0.0008966547739475879,0.0008966547739475879
5.0,0.0,full,33155,20689,-0.09280081641616977,-0.09280081641616977
